request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_161,6089483.3,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"90-day forecast in IDR; safe today 6089483.3, minimum balance 23010400. wait completes on 2026-01-15; all projected balances preserve the reserve. No spending changes required."
request_162,822930.96,not_affordable,not_recommended,none,,none,"90-day forecast in IDR; safe today 822930.96, minimum balance 24161100. No eligible plan safely completes the request by its deadline."
request_163,8367377.69,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-15,reduce_to:event_15018:664050,"90-day forecast in IDR; safe today 8367377.69, minimum balance 26728700. installments completes on 2024-11-11; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"90-day forecast in IDR; safe today 27018000, minimum balance 29550500. installments completes on 2025-04-08; all projected balances preserve the reserve. No spending changes required."
request_165,60078.65,affordable_with_plan,full_payment,2026-04-06:80600,,stop:event_15135|reduce_to:event_15136:1048|reduce_to:event_15173:1875,"90-day forecast in INR; safe today 60078.65, minimum balance 95000. full_payment completes on 2026-04-06; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"90-day forecast in USD; safe today 2907.6, minimum balance 1700. installments completes on 2025-02-03; all projected balances preserve the reserve. No spending changes required."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"90-day forecast in ZAR; safe today 43802, minimum balance 31200. full_payment completes on 2025-05-05; all projected balances preserve the reserve. No spending changes required."
request_168,30192.48,affordable_with_plan,partial_payment,2026-01-07:30192.48|2026-02-15:19187.52,2026-02-15,none,"90-day forecast in INR; safe today 30192.48, minimum balance 114400. partial_payment completes on 2026-02-15; all projected balances preserve the reserve. No spending changes required."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"90-day forecast in ZAR; safe today 41976, minimum balance 18700. full_payment completes on 2024-03-04; all projected balances preserve the reserve. No spending changes required."
request_170,29767180.55,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,reduce_to:event_15670:779950,"90-day forecast in IDR; safe today 29767180.55, minimum balance 24715800. installments completes on 2025-10-01; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_171,20.99,not_affordable,not_recommended,none,,none,"90-day forecast in EUR; safe today 20.99, minimum balance 500. No eligible plan safely completes the request by its deadline."
request_172,8939.39,affordable_with_plan,partial_payment,2024-06-05:8939.39|2024-06-15:1260.61,2024-06-15,none,"90-day forecast in ZAR; safe today 8939.39, minimum balance 27200. partial_payment completes on 2024-06-15; all projected balances preserve the reserve. No spending changes required."
request_173,51997.85,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,,reduce_to:event_15864:1272|reduce_to:event_15946:2105,"90-day forecast in INR; safe today 51997.85, minimum balance 79100. installments completes on 2026-01-16; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_174,1053.94,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,reduce_to:event_15976:16.8|reduce_to:event_16013:12.5,"90-day forecast in EUR; safe today 1053.94, minimum balance 700. installments completes on 2026-06-03; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.3,2024-09-06,none,"90-day forecast in EUR; safe today 2346.3, minimum balance 1700. full_payment completes on 2024-09-06; all projected balances preserve the reserve. No spending changes required."
request_176,357.16,not_affordable,not_recommended,none,,none,"90-day forecast in EUR; safe today 357.16, minimum balance 600. No eligible plan safely completes the request by its deadline."
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.6,2026-01-05,none,"90-day forecast in USD; safe today 1017.6, minimum balance 1300. full_payment completes on 2026-01-05; all projected balances preserve the reserve. No spending changes required."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"90-day forecast in EUR; safe today 2938.1, minimum balance 1400. installments completes on 2025-02-07; all projected balances preserve the reserve. No spending changes required."
request_179,6330102.37,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"90-day forecast in IDR; safe today 6330102.37, minimum balance 41430800. wait completes on 2025-07-15; all projected balances preserve the reserve. No spending changes required."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"90-day forecast in INR; safe today 66500, minimum balance 37300. full_payment completes on 2026-07-06; all projected balances preserve the reserve. No spending changes required."
request_181,268.71,not_affordable,not_recommended,none,,none,"90-day forecast in USD; safe today 268.71, minimum balance 2000. No eligible plan safely completes the request by its deadline."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"90-day forecast in ZAR; safe today 65714, minimum balance 31100. full_payment completes on 2025-08-05; all projected balances preserve the reserve. No spending changes required."
request_183,22856463.1,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,reduce_to:event_16815:365560,"90-day forecast in IDR; safe today 22856463.1, minimum balance 11878300. installments completes on 2026-06-09; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_184,6478.94,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 6478.94, minimum balance 110800. No eligible plan safely completes the request by its deadline."
request_185,301.07,affordable_with_plan,full_payment,2026-01-15:1257.3,,reduce_to:event_17120:33.5,"90-day forecast in EUR; safe today 301.07, minimum balance 1300. full_payment completes on 2026-01-15; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_186,3811.72,affordable_with_plan,full_payment,2026-03-15:26554,,reduce_to:event_17160:660,"90-day forecast in ZAR; safe today 3811.72, minimum balance 22000. full_payment completes on 2026-03-15; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_187,37002.18,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"90-day forecast in INR; safe today 37002.18, minimum balance 128300. wait completes on 2024-11-15; all projected balances preserve the reserve. No spending changes required."
request_188,72.02,not_affordable,not_recommended,none,,none,"90-day forecast in EUR; safe today 72.02, minimum balance 900. No eligible plan safely completes the request by its deadline."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.4,2026-07-04,none,"90-day forecast in EUR; safe today 488.4, minimum balance 400. full_payment completes on 2026-07-04; all projected balances preserve the reserve. No spending changes required."
request_190,424.56,affordable_with_plan,full_payment,2025-02-15:2557.5,,reduce_to:event_17577:37.5,"90-day forecast in EUR; safe today 424.56, minimum balance 1600. full_payment completes on 2025-02-15; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.4,2025-05-03,none,"90-day forecast in EUR; safe today 664.4, minimum balance 500. full_payment completes on 2025-05-03; all projected balances preserve the reserve. No spending changes required."
request_192,55.47,not_affordable,not_recommended,none,,none,"90-day forecast in USD; safe today 55.47, minimum balance 1000. No eligible plan safely completes the request by its deadline."
request_193,20.71,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"90-day forecast in EUR; safe today 20.71, minimum balance 1000. installments completes on 2024-05-22; all projected balances preserve the reserve. No spending changes required."
request_194,31866.47,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"90-day forecast in INR; safe today 31866.47, minimum balance 113600. wait completes on 2025-10-23; all projected balances preserve the reserve. No spending changes required."
request_195,960.57,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,reduce_to:event_17955:12,"90-day forecast in EUR; safe today 960.57, minimum balance 700. installments completes on 2026-03-10; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.3,2024-06-03,none,"90-day forecast in EUR; safe today 762.3, minimum balance 500. full_payment completes on 2024-06-03; all projected balances preserve the reserve. No spending changes required."
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"90-day forecast in IDR; safe today 50939000, minimum balance 26245900. installments completes on 2026-01-14; all projected balances preserve the reserve. No spending changes required."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"90-day forecast in INR; safe today 185800, minimum balance 124300. full_payment completes on 2026-07-07; all projected balances preserve the reserve. No spending changes required."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"90-day forecast in IDR; safe today 23674000, minimum balance 25359500. installments completes on 2024-11-08; all projected balances preserve the reserve. No spending changes required."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"90-day forecast in IDR; safe today 21717000, minimum balance 20114600. full_payment completes on 2025-02-06; all projected balances preserve the reserve. No spending changes required."
request_201,22502008.57,not_affordable,not_recommended,none,,none,"90-day forecast in IDR; safe today 22502008.57, minimum balance 17304500. No eligible plan safely completes the request by its deadline."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"90-day forecast in INR; safe today 123900, minimum balance 147800. full_payment completes on 2024-12-05; all projected balances preserve the reserve. No spending changes required."
request_203,1442.1,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,2025-05-07,none,"90-day forecast in EUR; safe today 1442.1, minimum balance 1400. installments completes on 2025-07-05; all projected balances preserve the reserve. No spending changes required."
request_204,563.45,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"90-day forecast in EUR; safe today 563.45, minimum balance 1300. wait completes on 2026-01-15; all projected balances preserve the reserve. No spending changes required."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"90-day forecast in IDR; safe today 10621000, minimum balance 13994300. full_payment completes on 2024-03-06; all projected balances preserve the reserve. No spending changes required."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"90-day forecast in EUR; safe today 1404.7, minimum balance 900. installments completes on 2025-09-28; all projected balances preserve the reserve. No spending changes required."
request_207,4221.78,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"90-day forecast in ZAR; safe today 4221.78, minimum balance 13600. wait completes on 2026-07-15; all projected balances preserve the reserve. No spending changes required."
request_208,3059490.22,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"90-day forecast in IDR; safe today 3059490.22, minimum balance 10470700. wait completes on 2024-06-15; all projected balances preserve the reserve. No spending changes required."
request_209,1549.15,not_affordable,not_recommended,none,,none,"90-day forecast in ZAR; safe today 1549.15, minimum balance 18400. No eligible plan safely completes the request by its deadline."
request_210,790.08,affordable_with_plan,partial_payment,2026-04-06:790.08|2026-04-15:569.94,2026-04-15,none,"90-day forecast in USD; safe today 790.08, minimum balance 2000. partial_payment completes on 2026-04-15; all projected balances preserve the reserve. No spending changes required."
request_211,246.22,affordable_later,wait,2024-11-15:1788.6,2024-11-15,none,"90-day forecast in EUR; safe today 246.22, minimum balance 1500. wait completes on 2024-11-15; all projected balances preserve the reserve. No spending changes required."
request_212,3659474.79,not_affordable,not_recommended,none,,none,"90-day forecast in IDR; safe today 3659474.79, minimum balance 29579800. No eligible plan safely completes the request by its deadline."
request_213,2129.07,not_affordable,not_recommended,none,,none,"90-day forecast in USD; safe today 2129.07, minimum balance 2100. No eligible plan safely completes the request by its deadline."
request_214,39035.84,affordable_with_plan,partial_payment,2024-12-04:39035.84|2024-12-15:30714.16,2024-12-15,none,"90-day forecast in INR; safe today 39035.84, minimum balance 174900. partial_payment completes on 2024-12-15; all projected balances preserve the reserve. No spending changes required."
request_215,29986,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,2025-05-06,none,"90-day forecast in ZAR; safe today 29986, minimum balance 15700. installments completes on 2025-07-04; all projected balances preserve the reserve. No spending changes required."
request_216,467.99,affordable_later,wait,2026-09-15:3332.4,2026-09-15,none,"90-day forecast in USD; safe today 467.99, minimum balance 1800. wait completes on 2026-09-15; all projected balances preserve the reserve. No spending changes required."
request_217,19378.69,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,reduce_to:event_19977:367.4,"90-day forecast in ZAR; safe today 19378.69, minimum balance 26800. installments completes on 2024-05-20; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_218,24048459.41,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"90-day forecast in IDR; safe today 24048459.41, minimum balance 34477200. installments completes on 2025-10-02; all projected balances preserve the reserve. No spending changes required."
request_219,697.31,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"90-day forecast in EUR; safe today 697.31, minimum balance 1100. installments completes on 2026-06-06; all projected balances preserve the reserve. No spending changes required."
request_220,61,not_affordable,not_recommended,none,,none,"90-day forecast in EUR; safe today 61, minimum balance 1100. No eligible plan safely completes the request by its deadline."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"90-day forecast in INR; safe today 109800, minimum balance 81500. full_payment completes on 2025-11-03; all projected balances preserve the reserve. No spending changes required."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"90-day forecast in ZAR; safe today 34078, minimum balance 27300. full_payment completes on 2026-01-05; all projected balances preserve the reserve. No spending changes required."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.7,2024-09-07,none,"90-day forecast in EUR; safe today 898.7, minimum balance 800. full_payment completes on 2024-09-07; all projected balances preserve the reserve. No spending changes required."
request_224,9744120.23,affordable_with_plan,partial_payment,2025-02-04:9744120.23|2025-02-15:582879.77,2025-02-15,none,"90-day forecast in IDR; safe today 9744120.23, minimum balance 22187600. partial_payment completes on 2025-02-15; all projected balances preserve the reserve. No spending changes required."
request_225,9535426.43,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,reduce_to:event_20649:314450,"90-day forecast in IDR; safe today 9535426.43, minimum balance 17670700. installments completes on 2026-09-18; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"90-day forecast in INR; safe today 157000, minimum balance 209400. full_payment completes on 2024-12-03; all projected balances preserve the reserve. No spending changes required."
request_227,6835.05,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 6835.05, minimum balance 62900. No eligible plan safely completes the request by its deadline."
request_228,1040134.3,not_affordable,not_recommended,none,,none,"90-day forecast in IDR; safe today 1040134.3, minimum balance 26191200. No eligible plan safely completes the request by its deadline."
request_229,429.68,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"90-day forecast in EUR; safe today 429.68, minimum balance 1000. installments completes on 2024-05-19; all projected balances preserve the reserve. No spending changes required."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.6,2025-08-06,none,"90-day forecast in EUR; safe today 3537.6, minimum balance 2000. full_payment completes on 2025-08-06; all projected balances preserve the reserve. No spending changes required."
request_231,30748.25,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,reduce_to:event_21305:845.9,"90-day forecast in ZAR; safe today 30748.25, minimum balance 24300. installments completes on 2026-03-07; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_232,251.7,not_affordable,not_recommended,none,,none,"90-day forecast in EUR; safe today 251.7, minimum balance 2400. No eligible plan safely completes the request by its deadline."
request_233,3687437.31,affordable_with_plan,partial_payment,2025-11-07:3687437.31|2025-12-15:2553562.69,2025-12-15,none,"90-day forecast in IDR; safe today 3687437.31, minimum balance 10365700. partial_payment completes on 2025-12-15; all projected balances preserve the reserve. No spending changes required."
request_234,172.8,affordable_later,wait,2026-09-15:1213.3,2026-09-15,none,"90-day forecast in EUR; safe today 172.8, minimum balance 700. wait completes on 2026-09-15; all projected balances preserve the reserve. No spending changes required."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.2,2024-09-06,none,"90-day forecast in USD; safe today 967.2, minimum balance 700. full_payment completes on 2024-09-06; all projected balances preserve the reserve. No spending changes required."
request_236,5426882.73,not_affordable,not_recommended,none,,none,"90-day forecast in IDR; safe today 5426882.73, minimum balance 16768600. No eligible plan safely completes the request by its deadline."
request_237,21461233.56,affordable_with_plan,full_payment,2026-04-05:23826000,,reduce_to:event_21812:382850|reduce_to:event_21813:548720,"90-day forecast in IDR; safe today 21461233.56, minimum balance 22431500. full_payment completes on 2026-04-05; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_238,663.6,affordable_with_plan,installments,2024-12-07:230.05|2025-01-07:230.05|2025-02-07:230.05,2024-12-07,none,"90-day forecast in USD; safe today 663.6, minimum balance 700. installments completes on 2025-02-07; all projected balances preserve the reserve. No spending changes required."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,"90-day forecast in USD; safe today 642, minimum balance 600. full_payment completes on 2025-05-04; all projected balances preserve the reserve. No spending changes required."
request_240,13986.11,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 13986.11, minimum balance 52800. No eligible plan safely completes the request by its deadline."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"90-day forecast in IDR; safe today 21052000, minimum balance 19252000. installments completes on 2024-05-18; all projected balances preserve the reserve. No spending changes required."
request_242,19.05,not_affordable,not_recommended,none,,none,"90-day forecast in EUR; safe today 19.05, minimum balance 600. No eligible plan safely completes the request by its deadline."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"90-day forecast in ZAR; safe today 17468, minimum balance 19900. full_payment completes on 2026-07-07; all projected balances preserve the reserve. No spending changes required."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"90-day forecast in ZAR; safe today 49918, minimum balance 45900. full_payment completes on 2024-06-04; all projected balances preserve the reserve. No spending changes required."
request_245,22963.05,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"90-day forecast in INR; safe today 22963.05, minimum balance 94600. wait completes on 2026-01-15; all projected balances preserve the reserve. No spending changes required."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"90-day forecast in ZAR; safe today 64086, minimum balance 39300. installments completes on 2026-06-02; all projected balances preserve the reserve. No spending changes required."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.3,2024-09-05,none,"90-day forecast in EUR; safe today 1059.3, minimum balance 1300. full_payment completes on 2024-09-05; all projected balances preserve the reserve. No spending changes required."
request_248,933.47,affordable_with_plan,partial_payment,2025-02-07:933.47|2025-04-15:1032.13,2025-04-15,none,"90-day forecast in USD; safe today 933.47, minimum balance 1300. partial_payment completes on 2025-04-15; all projected balances preserve the reserve. No spending changes required."
request_249,124.47,affordable_later,wait,2026-03-15:643.2,2026-03-15,none,"90-day forecast in USD; safe today 124.47, minimum balance 600. wait completes on 2026-03-15; all projected balances preserve the reserve. No spending changes required."
request_250,15034.68,not_affordable,not_recommended,none,,none,"90-day forecast in ZAR; safe today 15034.68, minimum balance 35300. No eligible plan safely completes the request by its deadline."
request_251,689.24,not_affordable,not_recommended,none,,none,"90-day forecast in EUR; safe today 689.24, minimum balance 1300. No eligible plan safely completes the request by its deadline."
request_252,3773029.5,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"90-day forecast in IDR; safe today 3773029.5, minimum balance 15152200. wait completes on 2026-09-15; all projected balances preserve the reserve. No spending changes required."
request_253,1356.74,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,reduce_to:event_23305:45.5,"90-day forecast in EUR; safe today 1356.74, minimum balance 2300. installments completes on 2024-05-22; all projected balances preserve the reserve. Requires the listed flexible spending changes."
request_254,614.48,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,"90-day forecast in USD; safe today 614.48, minimum balance 2500. wait completes on 2025-10-15; all projected balances preserve the reserve. No spending changes required."
request_255,0,not_affordable,not_recommended,none,,none,"90-day forecast in IDR; safe today 0, minimum balance 9813900. No eligible plan safely completes the request by its deadline."
request_256,149860.61,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"90-day forecast in INR; safe today 149860.61, minimum balance 168600. installments completes on 2024-08-11; all projected balances preserve the reserve. No spending changes required."
request_257,323.64,affordable_later,wait,2026-01-15:1352.4,2026-01-15,none,"90-day forecast in USD; safe today 323.64, minimum balance 1600. wait completes on 2026-01-15; all projected balances preserve the reserve. No spending changes required."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.6,2026-01-07,none,"90-day forecast in USD; safe today 1113.6, minimum balance 500. full_payment completes on 2026-01-07; all projected balances preserve the reserve. No spending changes required."
request_259,250.53,affordable_later,wait,2024-11-15:935,2024-11-15,none,"90-day forecast in EUR; safe today 250.53, minimum balance 600. wait completes on 2024-11-15; all projected balances preserve the reserve. No spending changes required."
request_260,6207772.92,not_affordable,not_recommended,none,,none,"90-day forecast in IDR; safe today 6207772.92, minimum balance 20727700. No eligible plan safely completes the request by its deadline."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,"90-day forecast in EUR; safe today 1830.4, minimum balance 1500. full_payment completes on 2026-07-03; all projected balances preserve the reserve. No spending changes required."
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"90-day forecast in IDR; safe today 9236000, minimum balance 31018500. full_payment completes on 2024-12-05; all projected balances preserve the reserve. No spending changes required."
request_263,5448.78,not_affordable,not_recommended,none,,none,"90-day forecast in ZAR; safe today 5448.78, minimum balance 24100. No eligible plan safely completes the request by its deadline."
request_264,22546.95,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"90-day forecast in INR; safe today 22546.95, minimum balance 59500. wait completes on 2026-06-15; all projected balances preserve the reserve. No spending changes required."
request_265,0,not_affordable,not_recommended,none,,none,"90-day forecast in INR; safe today 0, minimum balance 189700. No eligible plan safely completes the request by its deadline."
request_266,767.91,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"90-day forecast in EUR; safe today 767.91, minimum balance 900. installments completes on 2025-09-28; all projected balances preserve the reserve. No spending changes required."
request_267,1613.47,not_affordable,not_recommended,none,2026-03-15,none,"90-day forecast in EUR; safe today 1613.47, minimum balance 1500. No eligible plan safely completes the request by its deadline."
request_268,1034.29,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"90-day forecast in EUR; safe today 1034.29, minimum balance 1400. installments completes on 2024-08-15; all projected balances preserve the reserve. No spending changes required."
request_269,9503.67,affordable_later,wait,2025-12-15:15490,2025-12-15,none,"90-day forecast in ZAR; safe today 9503.67, minimum balance 23100. wait completes on 2025-12-15; all projected balances preserve the reserve. No spending changes required."
request_270,83.88,not_affordable,not_recommended,none,,none,"90-day forecast in USD; safe today 83.88, minimum balance 1400. No eligible plan safely completes the request by its deadline."
request_271,12373.41,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"90-day forecast in INR; safe today 12373.41, minimum balance 58200. wait completes on 2024-11-15; all projected balances preserve the reserve. No spending changes required."
request_272,5407322.15,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"90-day forecast in IDR; safe today 5407322.15, minimum balance 7508600. installments completes on 2025-04-09; all projected balances preserve the reserve. No spending changes required."
request_273,9476871.09,affordable_with_plan,partial_payment,2026-04-07:9476871.09|2026-04-15:6384128.91,2026-04-15,none,"90-day forecast in IDR; safe today 9476871.09, minimum balance 18774600. partial_payment completes on 2026-04-15; all projected balances preserve the reserve. No spending changes required."
request_274,2026.95,not_affordable,not_recommended,none,2025-02-15,none,"90-day forecast in EUR; safe today 2026.95, minimum balance 1800. No eligible plan safely completes the request by its deadline."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"90-day forecast in IDR; safe today 15884000, minimum balance 12760100. full_payment completes on 2025-05-06; all projected balances preserve the reserve. No spending changes required."
